Reaction,Min,Max
G5SD,5.050357746531234e-07,0.2405290744521638
G5SD2,1.8433434773032328e-06,0.3271093213788666
G6PDH2,1.0579263613874836e-05,0.2235108114835739
GALFT,1.542389009740271e-09,7.072017754047896e-06
GALKr,-1.0478638238489002e-14,2.7920018885078588e-14
GALT,-1.8778852232048315e-14,2.2076936940844783e-14
GALUi,3.877512451700206e-07,0.3252786892454279
GALt2,-1.3981401240341754e-15,3.6919927220366726e-16
GAPD,2.39273917385576,2.90480905765832
GARFT,9.072124924825926e-07,0.0136846989121382
GCCa,5.587904906916258e-07,0.2327763448274538
GCCb,5.58791153429638e-07,0.2327763448281404
GCCc,5.587904913699026e-07,0.2327763448274561
GF6PTAr,6.966323395812192e-07,0.003194133414116
GGLUCT2,6.433298406935906e-08,0.2998698805073078
GHMT2,4.041169894568558e-06,0.1177765264900514
GK1,1.1336162836837605e-06,0.1980401623296485
GLCabc,0.9130860713565486,0.99999928562769
GLGC,3.02550439487142e-07,0.2987232481434503
GLNS,0.0329642482732678,0.8038071438915769
GLU5K,2.348379251956695e-06,0.4458243552917896
GLUCYS,8.22313838759587e-05,0.3013177986749298
GLUDC,5.310618505186506e-07,0.2018923401164147
GLUDx,4.677101670384049e-06,0.4376973026155477
GLUPRT,9.072124924879264e-07,0.0136846989117701
GLUR,-0.0004032211052952,-8.794149321062122e-08
GLUSy,1.2762392310905872e-05,0.7513104801925985
GLUt2r,0.8117656154811657,0.9999998511976314
GLXO1,1.0886816731136205e-07,0.182315784403213
GLYC3Pabc,-5.051281534137123e-18,4.89193296029661e-14
GLYCK,7.010883489698625e-08,0.2069105422417088
GLYCL,3.166630814295396e-06,0.2361250831414954
GLYCTO1,6.24430050312185e-13,6.400345603923022e-06
GLYCTO2,5.6483542437407865e-11,8.383500296322009e-06
GLYCTO3,2.525434016065144e-13,7.076436544653833e-06
GLYCTO4,7.977468632195451e-12,1.0332409083991856e-05
GLYCt,-0.9999998694363,-0.7015213919694838
GLYK,0.6892910815052835,1.1803367953599382
GLYt2r,-0.3231351162257914,-1.6350608006061061e-07
GMPS2,6.78136924865827e-07,0.0340399439381539
GMT1,7.927162119828091e-09,3.634688194520646e-05
GND,1.0579263613775336e-05,0.2235108114835739
GPDDA2,6.262967889277952e-05,0.0724555206178718
GRTT,3.764827799713176e-06,0.0214949175447168
GSNK,8.776756964960507e-08,0.1938340650249764
GTHOr,-999.9747939034607,-0.4017225245060517
GTHRDt2,-2.406445477294987e-12,-6.820057637827825e-14
GTHS,6.433452244585448e-08,0.2998698805073598
GTMLT,6.433269185563675e-08,0.2998698805073074
GTPCI,1.6881312485456416e-09,7.739554666110376e-06
GTPCII,9.231453820049717e-10,0.0002347721435725
GTPCII2,1.1716470107078922e-08,0.0003018532998876
GTPDPK,7.763238337875894e-07,0.0694267540274955
GTPH1,3.5107027859793826e-08,0.0887844367490717
GUACYC,4.1612413793046497e-07,0.1342529126331809
GUAD,1.1702342609467538e-08,0.0326132910609708
GUAPRT,8.425101233881835e-07,0.0743256363092238
H2CO3D,0.0002634137785787,2.3858524069020244
H2CO3TP,-2.385852406902023,-0.0002634137785592
H2Ot,-3.749541453153293,-1.6152442063259145
H2St1,6.511965750545086e-08,0.1358551218382927
H2td,8.484922946938423e-06,1.0930363855029968
HCO3E,0.1476155370686221,2.716919269088095
HCYSMT,1.1017748196461697e-07,0.098558757999043
HDCAt2,-1.2433199088365484e-13,1.28257692032613e-13
HEX1,8.990393581367104e-08,0.2263572046223797
HISTD,1.1810473328404186e-06,0.0264723405873386
HISTP,1.1810473328403172e-06,0.0264723405873386
HISt2r,-0.0232241241396886,-6.301707812927637e-09
HMBS,5.063931085393236e-09,2.3218662930113176e-05
HMPK1,8.920603605709871e-07,0.0694701369461937
HMPK2,5.6619634870763696e-08,0.0607803520574399
HMPK3,1.1702342619922042e-08,0.053354438752139
HMPK4,1.4648219732958298e-07,0.1073207799614514
HPPK,2.2938264758397736e-10,6.733814148334279e-06
HPPK2,9.945481908900992e-11,7.299981615372855e-06
HSDy,-0.2046255186002801,-0.0004107685878249
HSERTA,1.3718734819672673e-07,0.0093904159167688
HSK,0.0004098128260914,0.1864818681059155
HSST,6.917009299430668e-07,0.099508108806856
HSTPT,1.1810473328403172e-06,0.0264723405873386
HXPRT,2.6189717322630162e-08,0.0777900311773703
ICDHy,0.1948738807143906,1.1093659156951965
ICHORSi,2.4897736168731012e-08,0.0001141654294088
ICL,0.0001766588800731,0.5822769928552375
ID3ACALDt,3.397818316652622e-07,0.0271534037662893
IG3PS,1.181047332840147e-06,0.0264723405873385
IGAMD,2.7640623840763667e-08,0.000126735201885
IGPDH,1.1810473328401031e-06,0.0264723405873387
IGPS,8.318624728195842e-05,0.0299272284657329
ILETA,-0.1360863854040401,-0.0002435386057292
ILEt2r,-0.1356941604551585,-1.4296117204483454e-05
IMPC,-0.0318240988174047,-2.0865718465113413e-06
IMPD,6.664345822563195e-07,0.0030556727879533
INDPYRD,3.3978183088655853e-07,0.0271534037662891
INSH,0.0001439611168914,0.158003083050405
INSK,1.601628847707698e-07,0.2374866562326048
IPDDI,-0.037922445823048,0.0119736685070354
IPDPS,6.684384998709642e-07,0.0519752232041999
IPMD,1.2273719997529126e-06,0.1880965497632436
IPPMIa,-0.1880965497632436,-1.2273719997529126e-06
IPPMIb,-0.1880965497632436,-1.2273719997529124e-06
IPPS,1.2273719997529126e-06,0.1880965497632435
KARA1i,0.0107885481008763,0.8199253609881184
KARA2i,0.0004099420115428,0.158290808805869
Kabc,3.510702785979994e-08,0.1784584358331939
Kt3r,-999.8236014136568,-0.2865047657307208
LACZ,-1.4409299158422366e-15,1.8170967825233788e-15
LCTSabc,-2.6509521230230844e-15,6.304320040101866e-15
LDH_L,-2.1104999760102388,-0.1416688519836272
LEUTA,-0.1880965497632735,-1.2273719997531292e-06
LEUt2r,-0.1870275597086798,-7.954397778865216e-07
LO,1.4194987480323261e-08,0.0627623835556168
LPLIPAL2E160,6.26296788927755e-05,0.0724555206178464
LYSt5r,-0.0789697053525584,-1.4225125325639476e-08
L_LACD,1.3321155769093253e-07,0.2429348905611949
L_LACD2,9.161156026442217e-08,0.6287689565012959
L_LACD3,0.0100585109819399,1.3775748362909497
L_LACt2r,-1.0530038404366358,0.3690730243368793
L_LACt3,5.270937396151197e-07,0.3744198445360243
MALS,3.5389815091120286e-06,0.269365573882782
MALT,1.579816135992257e-07,0.1969536583640293
MALTabc,-3.2529359952957537e-15,1.8577809147054952e-14
MALt2r,-0.2558098568774978,-2.5495555574707895e-07
MAN1PT,2.700127726658142e-11,0.0004174145795816
MAN1PT2,2.5526520539222852e-08,0.0006056612230489
MAN6PI,-0.0015895496649255,-3.466767221017234e-07
MANAT1,3.6976604580433156e-09,4.973257455981799e-05
MANAT2,2.748607642164737e-09,4.721664602090351e-05
MANAT3,2.6881034177962235e-09,1.2325240244394834e-05
MCBTS,3.7499594357258476e-14,1.4118573677376546e-08
MCBTS2,-1.3578875619485044e-08,7.044772673249217e-09
MCD,6.449498300260218e-07,0.2301565196465039
MCOATA,0.0029618486577839,2.653629426776567
MDH,-2.561364453020041,-0.6933174665423398
ME1,0.0001407217485953,1.14699366370194
MECDPDH,1.5626062246067434e-05,0.0851123437563539
MECDPS,1.5660800713277572e-05,0.0871906620582297
MEOHt2,-6.007274529044698e-14,5.3686553642828046e-14
MEPCT,1.566080071328363e-05,0.0871906620582355
METAT,3.6212647552845193e-06,0.1242988030952587
METOX1s,2.006115877712196e-08,0.11672321474531
METOX2s,4.270142968161464e-07,0.1191237877075865
METS,3.520968792474545e-06,0.0613096890583078
METSOXR1,2.006115877712196e-08,0.11672321474531
METSOXR2,4.270142968161464e-07,0.1191237877075865
METabc,-4.754573701588377e-14,9.006464575396223e-13
MI1PP,5.6138320940851473e-08,0.0675682026718456
MI1PS,6.0580943392995724e-09,0.000107121493181
MI3PP,5.100701290648866e-09,9.565243258728224e-05
MMCD,8.913962370603513e-07,0.2169104305659467
MME,-0.0868125457163702,-4.826153345872446e-07
MMM2r,-0.0868125457163738,-4.826153345874647e-07
MMSAD1,1.5394032364827714e-06,0.1193388749318872
MMSAD2,-6.406010758503235e-15,3.4047251320154857e-14
MN6PP,2.0058442026122708e-07,0.000919700913527
MOHMT,4.899840762416173e-08,0.0110651098064268
MSHAMID,-9.685813227002011e-14,2.7261082539384126e-14
MSHS,2.764062384168173e-08,0.0001267352018314
MTHFC,1.4751733994595995e-05,0.2523280879906305
MTHFD,1.4751733994597467e-05,0.2523280879906284
MTHFR2,3.520968792474545e-06,0.0613096890583078
